split	condition_a	condition_b	variable	n_a	n_b	mean_a	mean_b	sd_a	sd_b	median_a	median_b	min_a	max_a	min_b	max_b	smd	ks_statistic
all	high_association	low_association	mean_subtlex_zipf	250	250	4.292541170361875	4.29411657259161	0.6617181613887262	0.5285585449842093	4.179277121663594	4.27164329173867	2.8743085858930417	7.293766259371621	3.1006150600476983	5.749045027700644	-0.0026307081520566392	0.09200000000000003
all	high_association	low_association	within_pair_subtlex_difference	250	250	0.9456350181988717	0.9471522313279017	0.6645832575466174	0.6942595129798012	0.8562686356289249	0.8373773879437745	0.01484675606857877	2.9020135623701018	0.0	3.40435767959821	-0.002232563572672609	0.04800000000000004
all	high_association	low_association	mean_orthographic_length	250	250	5.142	5.144	1.2027562055378636	1.2112524634115227	5.0	5.0	2.5	10.0	3.0	11.5	-0.001656984615266462	0.07200000000000006
all	high_association	low_association	mean_phoneme_count	250	250	4.138	4.15	1.0178901716818107	1.0289484631209846	4.0	4.0	2.0	9.5	2.5	9.5	-0.011725228037011468	0.040000000000000036
all	high_association	low_association	mean_syllable_count	250	250	1.448	1.446	0.45178805849557024	0.5110073522526117	1.5	1.5	1.0	3.0	1.0	3.5	0.004146732495873663	0.055999999999999994
all	high_association	unrelated	mean_subtlex_zipf	250	500	4.292541170361875	4.285906142285359	0.6617181613887262	0.5616085486516528	4.179277121663594	4.285080016467657	2.8743085858930417	7.293766259371621	2.914568384302985	6.340036568086283	0.010811375727256557	0.09999999999999998
all	high_association	unrelated	within_pair_subtlex_difference	250	500	0.9456350181988717	0.9486511205331565	0.6645832575466174	0.6704478962368416	0.8562686356289249	0.8338302969380347	0.01484675606857877	2.9020135623701018	0.006018033688999225	3.656948634924361	-0.004518356331430906	0.05800000000000005
all	high_association	unrelated	mean_orthographic_length	250	500	5.142	5.132	1.2027562055378636	0.9962736181614411	5.0	5.0	2.5	10.0	3.0	9.5	0.009055089580292991	0.05600000000000005
all	high_association	unrelated	mean_phoneme_count	250	500	4.138	4.162	1.0178901716818107	0.8568689800067427	4.0	4.0	2.0	9.5	2.0	8.0	-0.025509371388337476	0.066
all	high_association	unrelated	mean_syllable_count	250	500	1.448	1.447	0.45178805849557024	0.40499263953330356	1.5	1.5	1.0	3.0	1.0	3.0	0.0023308456475429153	0.04999999999999999
all	low_association	unrelated	mean_subtlex_zipf	250	500	4.29411657259161	4.285906142285359	0.5285585449842093	0.5616085486516528	4.27164329173867	4.285080016467657	3.1006150600476983	5.749045027700644	2.914568384302985	6.340036568086283	0.015055783468109402	0.057999999999999996
all	low_association	unrelated	within_pair_subtlex_difference	250	500	0.9471522313279017	0.9486511205331565	0.6942595129798012	0.6704478962368416	0.8373773879437745	0.8338302969380347	0.0	3.40435767959821	0.006018033688999225	3.656948634924361	-0.0021963112208523445	0.041999999999999926
all	low_association	unrelated	mean_orthographic_length	250	500	5.144	5.132	1.2112524634115227	0.9962736181614411	5.0	5.0	3.0	11.5	3.0	9.5	0.010820709396892092	0.07000000000000006
all	low_association	unrelated	mean_phoneme_count	250	500	4.15	4.162	1.0289484631209846	0.8568689800067427	4.0	4.0	2.5	9.5	2.0	8.0	-0.012673921636311928	0.04799999999999999
all	low_association	unrelated	mean_syllable_count	250	500	1.446	1.447	0.5110073522526117	0.40499263953330356	1.5	1.5	1.0	3.5	1.0	3.0	-0.0021689281050167237	0.10599999999999998
train	high_association	low_association	mean_subtlex_zipf	145	145	4.295841598331088	4.294621380687728	0.576762118604057	0.525068645014845	4.201852100603777	4.297894691766567	3.2098943721323514	5.689380097979785	3.1006150600476983	5.672629900339321	0.002212457629912164	0.1103448275862069
train	high_association	low_association	within_pair_subtlex_difference	145	145	0.9484620978102851	0.9500599888104936	0.6265443102103492	0.6727690107296741	0.8834733532764973	0.8793826371743432	0.030932030406321864	2.708117261387881	0.0	3.0212101180571143	-0.0024580379991888117	0.05517241379310345
train	high_association	low_association	mean_orthographic_length	145	145	5.151724137931034	5.151724137931034	1.1491605298528345	1.230859199021599	5.0	5.0	3.0	8.5	3.0	10.0	0.0	0.04137931034482756
train	high_association	low_association	mean_phoneme_count	145	145	4.137931034482759	4.158620689655172	0.9691110592758334	1.065076041031849	4.0	4.0	2.5	7.5	2.5	9.0	-0.020319340592406736	0.04137931034482756
train	high_association	low_association	mean_syllable_count	145	145	1.4517241379310344	1.4448275862068964	0.4500159639569379	0.5140972447032705	1.5	1.5	1.0	2.5	1.0	3.5	0.014275021128859193	0.05517241379310345
train	high_association	unrelated	mean_subtlex_zipf	145	290	4.295841598331088	4.283642288850347	0.576762118604057	0.563249053559069	4.201852100603777	4.296941211006083	3.2098943721323514	5.689380097979785	2.914568384302985	5.888708289912607	0.02140058420719985	0.07241379310344831
train	high_association	unrelated	within_pair_subtlex_difference	145	290	0.9484620978102851	0.9466246774950628	0.6265443102103492	0.6832643639460569	0.8834733532764973	0.8293678786168703	0.030932030406321864	2.708117261387881	0.009124906605787686	3.656948634924361	0.0028030046920869424	0.07586206896551723
train	high_association	unrelated	mean_orthographic_length	145	290	5.151724137931034	5.127586206896551	1.1491605298528345	1.0795028176772423	5.0	5.0	3.0	8.5	3.0	9.5	0.021650779636542435	0.04137931034482761
train	high_association	unrelated	mean_phoneme_count	145	290	4.137931034482759	4.163793103448276	0.9691110592758334	0.9539026151868079	4.0	4.0	2.5	7.5	2.0	8.0	-0.026896595227130747	0.05517241379310345
train	high_association	unrelated	mean_syllable_count	145	290	1.4517241379310344	1.45	0.4500159639569379	0.4181231751761401	1.5	1.5	1.0	2.5	1.0	3.0	0.003969353708563598	0.0482758620689655
train	low_association	unrelated	mean_subtlex_zipf	145	290	4.294621380687728	4.283642288850347	0.525068645014845	0.563249053559069	4.297894691766567	4.296941211006083	3.1006150600476983	5.672629900339321	2.914568384302985	5.888708289912607	0.02016385808024853	0.07586206896551728
train	low_association	unrelated	within_pair_subtlex_difference	145	290	0.9500599888104936	0.9466246774950628	0.6727690107296741	0.6832643639460569	0.8793826371743432	0.8293678786168703	0.0	3.0212101180571143	0.009124906605787686	3.656948634924361	0.00506655439363859	0.08620689655172409
train	low_association	unrelated	mean_orthographic_length	145	290	5.151724137931034	5.127586206896551	1.230859199021599	1.0795028176772423	5.0	5.0	3.0	10.0	3.0	9.5	0.02085067117680645	0.04482758620689653
train	low_association	unrelated	mean_phoneme_count	145	290	4.158620689655172	4.163793103448276	1.065076041031849	0.9539026151868079	4.0	4.0	2.5	9.0	2.0	8.0	-0.005116042229214527	0.04137931034482761
train	low_association	unrelated	mean_syllable_count	145	290	1.4448275862068964	1.45	0.5140972447032705	0.4181231751761401	1.5	1.5	1.0	3.5	1.0	3.0	-0.011038630164457943	0.10344827586206895
validation	high_association	low_association	mean_subtlex_zipf	40	40	4.284697328194798	4.290544416781389	0.7397346387182169	0.5955594083027395	4.163676514346415	4.232975845311074	2.8743085858930417	5.952144438245188	3.2088119763723295	5.749045027700644	-0.008707147001163297	0.125
